yylval: 0	token: 264	yytext: program
yylval: 0	token: 258	yytext: example
yylval: 0	token: 284	yytext: (
yylval: 1	token: 258	yytext: input
yylval: 0	token: 282	yytext: ,
yylval: 2	token: 258	yytext: output
yylval: 0	token: 285	yytext: )
yylval: 0	token: 283	yytext: ;
yylval: 0	token: 265	yytext: var
yylval: 3	token: 258	yytext: x
yylval: 0	token: 282	yytext: ,
yylval: 4	token: 258	yytext: y
yylval: 0	token: 288	yytext: :
yylval: 0	token: 268	yytext: integer
yylval: 0	token: 283	yytext: ;
yylval: 0	token: 270	yytext: function
yylval: 5	token: 258	yytext: gcd
yylval: 0	token: 284	yytext: (
yylval: 6	token: 258	yytext: a
yylval: 0	token: 282	yytext: ,
yylval: 7	token: 258	yytext: b
yylval: 0	token: 288	yytext: :
yylval: 0	token: 268	yytext: integer
yylval: 0	token: 285	yytext: )
yylval: 0	token: 288	yytext: :
yylval: 0	token: 268	yytext: integer
yylval: 0	token: 283	yytext: ;
yylval: 0	token: 272	yytext: begin
yylval: 0	token: 274	yytext: if
yylval: 7	token: 258	yytext: b
yylval: 104	token: 260	yytext: =
yylval: 8	token: 259	yytext: 0
yylval: 0	token: 275	yytext: then
yylval: 5	token: 258	yytext: gcd
yylval: 0	token: 263	yytext: :=
yylval: 6	token: 258	yytext: a
yylval: 0	token: 276	yytext: else
yylval: 5	token: 258	yytext: gcd
yylval: 0	token: 263	yytext: :=
yylval: 5	token: 258	yytext: gcd
yylval: 0	token: 284	yytext: (
yylval: 7	token: 258	yytext: b
yylval: 0	token: 282	yytext: ,
yylval: 6	token: 258	yytext: a
yylval: 115	token: 261	yytext: mod
yylval: 7	token: 258	yytext: b
yylval: 0	token: 285	yytext: )
yylval: 0	token: 273	yytext: end
yylval: 0	token: 283	yytext: ;
yylval: 0	token: 272	yytext: begin
yylval: 9	token: 258	yytext: read
yylval: 0	token: 284	yytext: (
yylval: 3	token: 258	yytext: x
yylval: 0	token: 282	yytext: ,
yylval: 4	token: 258	yytext: y
yylval: 0	token: 285	yytext: )
yylval: 0	token: 283	yytext: ;
yylval: 10	token: 258	yytext: write
yylval: 0	token: 284	yytext: (
yylval: 5	token: 258	yytext: gcd
yylval: 0	token: 284	yytext: (
yylval: 3	token: 258	yytext: x
yylval: 0	token: 282	yytext: ,
yylval: 4	token: 258	yytext: y
yylval: 0	token: 285	yytext: )
yylval: 0	token: 285	yytext: )
yylval: 0	token: 283	yytext: ;
yylval: 0	token: 273	yytext: end
yylval: 0	token: 281	yytext: .
